staff_id,staff_name,staff_type,specialty,skill_level,certified_services,status,max_hours_per_week,availability
S001,陳醫師,doctor,美容醫學,senior,Botox|Thread Lift|Thermage|Ultherapy|RF Tightening|Skin Booster|Mesotherapy,active,32,Mon-Fri|AM/PM
S002,李醫師,doctor,皮膚科,senior,Botox|Thread Lift|Ultherapy|Thermage|Skin Booster|Mesotherapy,active,32,Mon-Fri|AM/PM
S003,吳醫師,doctor,皮膚科,mid,Botox|Skin Booster|Mesotherapy|Ultherapy,active,32,Mon-Fri|AM/PM
S004,林醫師,doctor,美容醫學,mid,Thermage|RF Tightening|Ultherapy|Botox,active,32,Mon-Fri|AM/PM
S005,張護理師,nurse,皮秒/針劑,mid,Whitening Drip|IV Injection,active,40,Mon-Sat|AM/PM (rotate)
S006,劉護理師,nurse,電波/手術,mid,Whitening Drip|Surgical Assist,active,40,Mon-Sat|AM/PM (rotate)
S007,陳護理師,nurse,術後護理,junior,Whitening Drip,active,32,Mon-Sat|AM/PM (1 day off)
S008,王美療師,therapist,皮秒/皮膚管理,senior,Pico Laser|Laser Toning|Chemical Peel|Hydra Facial,active,40,Mon-Fri|AM/PM
S009,林美療師,therapist,電波/導入,mid,RF Tightening|Hydra Facial|Chemical Peel,active,40,Mon-Fri|AM/PM
S010,葉美療師,therapist,高階保養,junior,Hydra Facial|Chemical Peel,active,32,Mon-Fri|AM/PM
S011,陳美療師,therapist,術後修復,junior,Hydra Facial|Laser Toning,active,32,Mon-Fri|AM/PM
S012,黃諮詢師,consultant,諮詢分析,mid,Consultation,active,40,Mon-Fri|AM/PM
S013,林諮詢師,consultant,客戶關係,mid,Consultation|Follow-up,active,40,Mon-Fri|AM/PM
S014,郭櫃台,admin,櫃台/報到,mid,Reception|Check-in|Queue Management|Payment Support,active,40,Mon-Sat|AM/PM (rotate)
S015,許行政,admin,預約/候補,mid,Scheduling|Waitlist|Call Handling|SMS Reminder,active,40,Mon-Sat|AM/PM (rotate)
S016,邱客服,admin,客服/回訪,junior,Customer Care|Post-visit Follow-up|Complaint Handling,active,32,Mon-Sat|AM/PM (1 day off)
S017,王護理師,nurse,術前/術後照護,mid,IV Injection|Post-op Care|Wound Care|Vitals Check,active,40,Mon-Sat|AM/PM (rotate)
S018,趙護理師,nurse,雷射/光療協助,junior,Laser Assist|Skin Prep|Recovery Support,active,32,Mon-Sat|AM/PM (1 day off)
S019,周諮詢師,consultant,療程諮詢/客戶關係,mid,Consultation|Treatment Planning|Aftercare Education|Membership,active,40,Mon-Fri|AM/PM
