date,staff_id,staff_name,staff_type,staff_role,cases,minutes,week
2024-01-01,S001,陳醫師,doctor,doctor,0,38,1
2024-01-01,S002,李醫師,doctor,doctor,0,59,1
2024-01-01,S003,吳醫師,doctor,doctor,0,41,1
2024-01-01,S004,林醫師,doctor,doctor,0,40,1
2024-01-01,S005,張護理師,nurse,nurse,0,144,1
2024-01-01,S006,劉護理師,nurse,nurse,0,110,1
2024-01-01,S007,陳護理師,nurse,nurse,0,138,1
2024-01-01,S008,王美療師,therapist,therapist,0,149,1
2024-01-01,S009,林美療師,therapist,therapist,0,126,1
2024-01-01,S010,葉美療師,therapist,therapist,0,90,1
2024-01-01,S011,陳美療師,therapist,therapist,0,112,1
2024-01-01,S012,黃諮詢師,consultant,consultant,0,110,1
2024-01-01,S013,林諮詢師,consultant,consultant,0,105,1
2024-01-01,S014,郭櫃台,admin,admin,0,405,1
2024-01-01,S015,許行政,admin,admin,0,340,1
2024-01-01,S016,邱客服,admin,admin,0,327,1
2024-01-01,S017,王護理師,nurse,nurse,0,116,1
2024-01-01,S018,趙護理師,nurse,nurse,0,121,1
2024-01-01,S019,周諮詢師,consultant,consultant,0,100,1
2024-01-02,S001,陳醫師,doctor,doctor,0,48,1
2024-01-02,S002,李醫師,doctor,doctor,0,30,1
2024-01-02,S003,吳醫師,doctor,doctor,0,43,1
2024-01-02,S004,林醫師,doctor,doctor,0,49,1
2024-01-02,S005,張護理師,nurse,nurse,0,106,1
2024-01-02,S006,劉護理師,nurse,nurse,0,115,1
2024-01-02,S007,陳護理師,nurse,nurse,0,147,1
2024-01-02,S008,王美療師,therapist,therapist,0,116,1
2024-01-02,S009,林美療師,therapist,therapist,0,112,1
2024-01-02,S010,葉美療師,therapist,therapist,0,106,1
2024-01-02,S011,陳美療師,therapist,therapist,0,110,1
2024-01-02,S012,黃諮詢師,consultant,consultant,0,107,1
2024-01-02,S013,林諮詢師,consultant,consultant,0,109,1
2024-01-02,S014,郭櫃台,admin,admin,0,303,1
2024-01-02,S015,許行政,admin,admin,0,327,1
2024-01-02,S016,邱客服,admin,admin,0,442,1
2024-01-02,S017,王護理師,nurse,nurse,0,109,1
2024-01-02,S018,趙護理師,nurse,nurse,0,94,1
2024-01-02,S019,周諮詢師,consultant,consultant,0,147,1
